ID,"Template Name",Params,"Body Text","Variable Mapping","Keep? (Y/N)"
110,appointment_confirmed_001,4,"Dear {{1}}, Appointment CONFIRMED! Counsellor: {{2}}, Date: {{3}}, Time: {{4}}. Please arrive 10 minutes early. Bring all required documents. Location: Gyan Manjari Campus","{{1}}: student_name, {{2}}: counsellor_name, {{3}}: date, {{4}}: time",
111,refund_processed_001,4,"Dear {{1}}, Refund Processed! Refund Amount: Rs.{{2}}, Reference No: {{3}}, Mode: {{4}}. Amount will be credited within 5-7 working days. For queries, contact accounts department.","{{1}}: student_name, {{2}}: amount, {{3}}: reference_no, {{4}}: mode",
115,gcr_request_submitted_01,6,"Hello {{1}}, Your group change request has been submitted successfully! Request No: {{2}}, Current Group: {{3}}, Requested Group: {{4}}. Your request is now pending approval from the Principal. Track your request at: {{5}}. {{6}} Thank you","{{1}}: student_name, {{2}}: request_no, {{3}}: current_group, {{4}}: requested_group, {{5}}: track_url, {{6}}: inst_name",
116,scholarship_applied_001,3,"Dear {{1}}, Your scholarship application has been received. Scholarship: {{2}}, Applied On: {{3}}. You will be notified once the review is complete.","{{1}}: student_name, {{2}}: scholarship, {{3}}: date",
120,admit_card_ready_001,3,"Dear {{1}}, Your admit card is ready for download! Exam: {{2}}, Roll Number: {{3}}. Download from student portal: https://gyanmanjarividyapith.edu.in/ Carry printed admit card to exam center.","{{1}}: student_name, {{2}}: exam, {{3}}: roll_no",
122,profile__updated001,2,"Dear {{1}}, Your profile has been updated on {{2}}. If you did not make these changes, please contact admin.","{{1}}: student_name, {{2}}: date_time",
124,gcr_request_rejected_001,6,"Dear {{1}}, We regret to inform you that your group change request has been REJECTED. Request No: {{2}}, Requested Change: {{3}} to {{4}}. Reason: {{5}}. If you have any questions, please contact the administration office. {{6}} Thank you","{{1}}: student_name, {{2}}: request_no, {{3}}: current_group, {{4}}: requested_group, {{5}}: reason, {{6}}: inst_name",
126,exam_schedule_001,4,"Dear {{1}}, Exam Schedule. Exam: {{2}}, Date: {{3}}, Time: {{4}}. Please reach the exam center 30 minutes before start time. All the best!","{{1}}: student_name, {{2}}: exam, {{3}}: date, {{4}}: time",
127,partial_payment_01,3,"Dear {{1}}, We have received a partial payment of Rs {{2}}. Receipt Number: {{3}} For any queries or assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: amount, {{3}}: receipt_no",
130,tokenfeesuconline_21,4,"Dear {{1}}, Your payment has been received successfully. Details: Amount: Rs {{2}} Receipt Number: {{3}} Transaction ID: {{4}} Your student portal has been activated successfully. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: amount, {{3}}: receipt_no, {{4}}: txnid",
131,docuverified_002,1,"Dear {{1}}, Your documents have been verified successfully. You may now proceed with the next steps of your admission process. For any assistance, please contact us. Thank you.","{{1}}: student_name",
139,gcr_fee_adjusted11,3,"Dear {{1}}, Your fee of Rs {{2}} has been adjusted due to {{3}}. Please log in to your portal to check the updated ledger details. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: amount, {{3}}: reason",
140,admission_02,3,"Dear {{1}}, Your admission for {{2}} has been confirmed successfully. Admission Number: {{3}} Welcome to Gyan Manjari. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: course, {{3}}: admission_no",
141,partialpayment_02,3,"Dear {{1}}, We have received a payment of Rs {{2}}. Pending Balance: Rs {{3}} Kindly clear the remaining dues to avoid any late charges. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: amount, {{3}}: balance",
142,scholarshiprejected_11,3,"Dear {{1}}, Your application for {{2}} was not approved. Reason: {{3}} For any queries or further assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: scholarship, {{3}}: reason",
143,scholarship_approved_02,2,"Dear {{1}}, Your scholarship {{2}} has been approved successfully. For any queries or assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: scholarship",
144,scholarship_approved01,3,"Dear {{1}}, Your scholarship {{2}} of Rs {{3}} has been approved and credited successfully. For any queries or assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: scholarship, {{3}}: amount",
145,followup_reminder__01,2,"Dear {{1}}, This is a reminder to complete your {{2}} at the earliest. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: task",
146,scholarship__approved10,2,"Dear {{1}}, Your {{2}} scholarship is now active. For any queries or assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: scholarship",
147,result_published_01,2,"Dear {{1}}, Your results for {{2}} are now available on the portal. Please log in to your account to view the details. For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: exam",
148,event_invitation_01,4,"Dear {{1}}, You are invited to the following event: Event: {{2}} Date: {{3}} Venue: {{4}} For any assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: event, {{3}}: date, {{4}}: venue",
149,scholarship_rejected_01,3,"Dear {{1}}, Your scholarship {{2}} was not approved. Reason: {{3}} For any queries or assistance, please contact us. Thank you.","{{1}}: student_name, {{2}}: scholarship, {{3}}: reason",
150,parent_update_not,2,"Dear Parent, this is regarding {{1}} for student {{2}}. Regards, GCA","{{1}}: message, {{2}}: student_name",
153,parent_update_note,2,"આદરણીય વાલી,
","{{1}}: message, {{2}}: details"
,
"જ્ઞાનમંજરી વિદ્યાપીઠ તરફથી અગત્યની સૂચના મોકલવામાં આવી છે કે",,
{{1}}.,
,
"આ અંગેની વધુ વિગત આ મુજબ છે:",
{{2}}.,
,
"સહકાર બદલ આભાર",,
"જ્ઞાનમંજરી વિદ્યાપીઠ.""","{{1}}: Name/Message ",,
154,feereminder_001,3,"Dear {{1}}, This is to inform you that the institute will remain closed on {{2}} due to {{3}}. For any queries, please contact us. Thank you.","{{1}}: student_name, {{2}}: date, {{3}}: reason",
155,welcome__message110,2,"Welcome to Gyan Manjari! Dear {{1}}, Thank you for your interest in our institution. Your counsellor {{2}} has been assigned to assist you with the admission process. We look forward to guiding you on your educational journey!","{{1}}: student_name, {{2}}: counsellor_name",
156,general__announcement_001,3,"Important Notice. Dear {{1}}, {{2}}. Date: {{3}}. For more details, visit the student portal. - Gyan Manjari Administration","{{1}}: student_name, {{2}}: message, {{3}}: date",
157,holiday_notice_001,3,"Dear {{1}}, This is to inform you that the institute will remain closed on {{2}} due to {{3}}. For any queries, please contact us. Thank you.","{{1}}: student_name, {{2}}: date, {{3}}: reason",
158,counsassigned_001,4,"Dear {{1}}, A counsellor has been assigned to guide you through the admission process. Counsellor: {{2}}, Contact: {{3}}. They will reach out to you within {{4}} hours. For immediate queries, call our helpline: 079-12345678","{{1}}: student_name, {{2}}: counsellor_name, {{3}}: contact, {{4}}: hours",
159,registration_success_001,5,"Dear {{1}}, Your registration for {{2}} ({{3}}) at Gyan Manjari has been received successfully on {{4}}. Registration ID: {{5}}. Our counsellor will contact you shortly to guide you through the admission process. For queries: 079-12345678","{{1}}: student_name, {{2}}: course, {{3}}: group, {{4}}: date, {{5}}: reg_id",
199,gyanman_0112_02,4,"Dear {{1}}, Your admission is confirmed for {{2}} at {{3}}. Application No: {{4}}. Regards, Team Gyanmanjari","{{1}}: student_name, {{2}}: course, {{3}}: inst, {{4}}: app_no",
201,gyanman_0112_03,3,"Dear {{1}}, Reminder: Your installment of Rs.{{2}} is due on {{3}}. Please pay at the earliest. Regards, Team Gyanmanjari","{{1}}: student_name, {{2}}: amount, {{3}}: date",
206,gyan_0412_06,3,"Dear {{1}}, Reminder: Your installment of Rs.{{2}} is due on {{3}}. Please pay at the earliest.","{{1}}: student_name, {{2}}: amount, {{3}}: date",
207,gci_0007,5,"Welcome to Gyanmanjari Vidyapith! 🎓 Dear {{1}}, Your online registration has been successfully completed! 📚 Course: {{2}} 🏫 School: {{3}} 📋 Registration ID: {{4}} Please save this Registration ID for future reference. Next Steps: 1. Visit the school with required documents 2. Complete the admission process 3. Pay the admission fees 📞 Contact Information: {{5}} We are excited to have you join our academic family! Best wishes, Team Gyanmanjari","{{1}}: student_name, {{2}}: course, {{3}}: school, {{4}}: reg_id, {{5}}: contact",
208,gyanman_0112_05,6,"Dear {{1}}, Payment of Rs.{{2}} received successfully. Payment ID: {{3}}, Transaction ID: {{4}}, Receipt No: {{5}}, Date: {{6}}. Please find your receipt attached Regards, Team Gyanmanjari","{{1}}: student_name, {{2}}: amount, {{3}}: payment_id, {{4}}: txnid, {{5}}: receipt_no, {{6}}: date",
209,gyan_0112_06,4,"Dear {{1}}, Welcome to Gyanmanjari Career Institute! You have been successfully enrolled in {{2}} at {{3}} center. Enrollment Date: {{4}} We wish you all the best for your academic journey!","{{1}}: student_name, {{2}}: course, {{3}}: center, {{4}}: date",
210,gyan_icc_01,3,"Welcome to Gyanmanjari Vidyapith! 🎓 Dear {{1}}, Congratulations! Your registration has been successfully completed. 📋 Application Number: {{2}} Please save this application number for future reference. 📞 Contact Information: {{3}} We are excited to have you join our academic family. For any queries, please feel free to contact us. Best wishes, Team Gyanmanjari","{{1}}: student_name, {{2}}: app_no, {{3}}: contact",
211,gyan_0312_03,4,"Welcome to Gyanmanjari! Dear {{1}}, you are enrolled in {{2}} at {{3}}. Date: {{4}}. Thank You","{{1}}: student_name, {{2}}: course, {{3}}: center, {{4}}: date",
212,gyan_0312_02,4,"Name: {{1}} Role: {{2}} Time: {{3}} IP Address: {{4}} This is an automated notification from GCI Admin Panel.","{{1}}: name, {{2}}: role, {{3}}: time, {{4}}: ip",
294,pawan_01,5,"Hello {{1}}, We have received {{2}} for the skill workshop for {{3}}. Please find the Zoom link: {{4}} Time: {{5}} Regards, Shubankar Das The Learners Platform","{{1}}: name, {{2}}: payment_info, {{3}}: workshop, {{4}}: zoom_link, {{5}}: time",
