template_name,template_category,body_text,variable_names,header_type,approval_status,is_active
gcr_request_approved,utility,"Congratulations {{1}}! Your group change request has been APPROVED! Request No: {{2}}, New Group: {{3}}, Fee Impact: {{4}}, Effective Date: {{5}}. {{6}}. Please visit the student portal to view your updated fee structure. Thank you, {{7}}","student_name,request_number,new_group,fee_impact,effective_date,principal_remarks,institution_name",none,approved,1
gcr_request_rejected,utility,"Dear {{1}}, We regret to inform you that your group change request has been REJECTED. Request No: {{2}}, Requested Change: {{3}} to {{4}}. Reason: {{5}}. If you have any questions, please contact the administration office. Thank you, {{6}}","student_name,request_number,current_group,requested_group,rejection_reason,institution_name",none,approved,1
gcr_fee_adjusted,utility,"Dear {{1}}, Your fee structure has been updated following your group change! Request No: {{2}}, New Group: {{3}}. Fee Summary: Previous Total: Rs.{{4}}, New Total: Rs.{{5}}, Already Paid: Rs.{{6}}, Pending Amount: Rs.{{7}}. {{8}}. View your updated fee details in the student portal. Thank you, {{9}}","student_name,request_number,new_group,previous_total,new_total,already_paid,pending_amount,additional_note,institution_name",none,approved,1
gcr_request_cancelled,utility,"Dear {{1}}, Your group change request has been cancelled as per your request. Request No: {{2}}, Requested Change: {{3}} to {{4}}. If you wish to submit a new request, please visit the student portal. Thank you, {{5}}","student_name,request_number,current_group,requested_group,institution_name",none,approved,1
scholarship_approved,utility,"Congratulations {{1}}! You have been awarded: {{2}}. Benefit: {{3}}. This will be applied to your fee automatically. Keep up the good work!","student_name,scholarship_name,benefit",none,approved,1
scholarship_applied,utility,"Dear {{1}}, Your scholarship application has been received. Scholarship: {{2}}, Applied On: {{3}}. You will be notified once the review is complete.","student_name,scholarship_name,application_date",none,approved,1
scholarship_rejected,utility,"Dear {{1}}, We regret to inform you that your scholarship application was not approved. Scholarship: {{2}}, Reason: {{3}}. You may apply for other available scholarships through the student portal.","student_name,scholarship_name,rejection_reason",none,approved,1
exam_schedule,utility,"Dear {{1}}, Exam Schedule. Exam: {{2}}, Date: {{3}}, Time: {{4}}. Please reach the exam center 30 minutes before start time. All the best!","student_name,exam_name,date,time",none,approved,1
result_published,utility,"Dear {{1}}, Results Published! Exam: {{2}}, Your Score: {{3}}/{{4}}, Percentage: {{5}}%. View detailed report: https://gyanmanjari.com/ Best wishes!","student_name,exam_name,score,total_marks,percentage",none,approved,1
admit_card_ready,utility,"Dear {{1}}, Your admit card is ready for download! Exam: {{2}}, Roll Number: {{3}}. Download from student portal: https://gyanmanjari.com/ Carry printed admit card to exam center.","student_name,exam_name,roll_number",none,approved,1
exam_reminder,utility,"Exam Reminder. Dear {{1}}, Your exam is {{2}}! {{3}}, {{4}}. Don't forget: Admit card, Photo ID, Stationery. All the best!","student_name,when,exam_name,time",none,approved,1
followup_reminder,utility,"Dear {{1}}, This is a reminder from Gyan Manjari regarding your admission inquiry. Our counsellor {{2}} will contact you today at {{3}}. Please keep your documents ready for discussion.","student_name,counsellor_name,time",none,approved,1
welcome_message,utility,"Welcome to Gyan Manjari! Dear {{1}}, Thank you for your interest in our institution. Your counsellor {{2}} has been assigned to assist you with the admission process. We look forward to guiding you on your educational journey!","student_name,counsellor_name",none,approved,1
password_reset_otp,authentication,"Dear {{1}}, Your OTP for password reset is: {{2}}. Valid for {{3}} minutes. Do not share this OTP with anyone. If you didn't request this, please contact admin.","student_name,otp_code,validity",none,approved,1
password_changed,utility,"Dear {{1}}, Your password has been successfully changed on {{2}}. If you didn't make this change, please contact admin immediately. - Gyan Manjari IT Team","student_name,date_time",none,approved,1
profile_updated,utility,"Dear {{1}}, Your profile has been updated on {{2}}. If you didn't make these changes, please contact admin.","student_name,date_time",none,approved,1
login_alert,utility,"Dear {{1}}, New login detected on your account. Time: {{2}}, Device: {{3}}. If this wasn't you, change your password immediately.","student_name,date_time,device_info",none,approved,1
general_announcement,utility,"Important Notice. Dear {{1}}, {{2}}. Date: {{3}}. For more details, visit the student portal. - Gyan Manjari Administration","student_name,announcement,date",none,approved,1
holiday_notice,utility,"Holiday Notice. Dear {{1}}, The institute will remain closed on {{2}} for {{3}}. Regular classes will resume from the next working day. - Gyan Manjari Administration","student_name,date,occasion",none,approved,1
event_invitation,utility,"You're Invited! Dear {{1}}, Event: {{2}}, Date: {{3}}, Venue: {{4}}. We look forward to your participation! - Gyan Manjari","student_name,event_name,date_time,venue",none,approved,1
